t (s),x_raw (cm),v_raw (cm/s),a_raw (cm/s²)
0.001,21,nan,nan
0.061,21,0.0,nan
0.121,21,0.0,0.0
0.181,21,0.0,0.0
0.241,21,0.0,0.0
0.303,21,0.0,0.0
0.365,21,0.0,0.0
0.424,21,0.0,0.0
0.486,21,0.0,0.0
0.547,21,0.0,0.0
0.609,21,0.0,0.0
0.67,21,0.0,0.0
0.73,21,0.0,0.0
0.79,21,0.0,0.0
0.851,21,0.0,0.0
0.911,21,0.0,0.0
0.972,21,0.0,0.0
1.033,21,0.0,0.0
1.094,21,0.0,0.0
1.156,21,0.0,0.0
1.218,21,0.0,0.0
1.278,21,0.0,0.0
1.338,21,0.0,0.0
1.4,21,0.0,0.0
1.46,21,0.0,0.0
1.528,21,0.0,0.0
1.595,21,0.0,0.0
1.662,21,0.0,0.0
1.722,21,0.0,0.0
1.781,21,0.0,0.0
1.844,21,0.0,0.0
1.905,21,0.0,0.0
1.967,21,0.0,0.0
2.028,21,0.0,0.0
2.088,21,0.0,0.0
2.149,21,0.0,0.0
2.21,21,0.0,0.0
2.271,21,0.0,0.0
2.332,21,0.0,0.0
2.394,21,0.0,0.0
2.454,21,0.0,0.0
2.515,21,0.0,0.0
2.578,21,0.0,0.0
2.638,21,0.0,0.0
2.699,20,-16.475969375930486,-271.45756687659923
2.758,20,0.0,279.94257461806626
2.819,20,0.0,0.0
2.879,20,0.0,0.0
2.939,20,0.0,0.0
3.003,20,0.0,0.0
3.064,20,0.0,0.0
3.126,20,0.0,0.0
3.186,19,-16.440900930564375,-270.30322340863256
3.249,19,0.0,263.50776114252153
3.311,19,0.0,0.0
3.374,18,-15.916152167726022,-253.32389982620975
3.438,19,15.572756705379154,490.3691167987218
3.498,18,-16.744463828750963,-541.1345302795096
3.56,18,0.0,269.9327453379973
3.62,18,0.0,0.0
3.681,18,0.0,0.0
3.744,17,-15.786517319121229,-249.2141290669145
3.806,17,0.0,257.1416194986347
3.866,17,0.0,0.0
3.928,17,0.0,0.0
3.992,17,0.0,0.0
4.054,17,0.0,0.0
4.115,17,0.0,0.0
4.177,16,-16.057395092780823,-257.83993716566164
4.239,16,0.0,259.17646604799114
4.299,16,0.0,0.0
4.361,16,0.0,0.0
4.42,15,-17.040803143016173,-290.3889717590299
4.48,15,0.0,281.8998946378959
4.541,15,0.0,0.0
4.601,14,-16.55511260923451,-274.07175350443543
4.662,14,0.0,273.76919118636596
4.724,14,0.0,0.0
4.785,14,0.0,0.0
4.845,14,0.0,0.0
4.906,13,-16.249182563419133,-264.03593397932434
4.967,13,0.0,269.2004306261321
5.026,13,0.0,0.0
5.085,13,0.0,0.0
5.146,13,0.0,0.0
5.207,13,0.0,0.0
5.268,13,0.0,0.0
5.332,13,0.0,0.0
5.392,13,0.0,0.0
5.453,13,0.0,0.0
5.515,12,-16.219962952793814,-263.08719819000385
5.576,13,16.352891179669925,532.6603390394413
5.638,13,0.0,-264.06281886640465
5.7,12,-16.189598338698595,-262.1030943683923
5.76,12,0.0,269.57409493833467
5.822,12,0.0,0.0
5.882,11,-16.434136956888008,-270.0808575177522
5.943,10,-16.43072487386004,0.05606299747930264
6.004,10,0.0,270.7121198460573
6.067,10,0.0,0.0
6.129,10,0.0,0.0
6.192,9,-15.930358160203578,-253.77631111236474
6.254,9,0.0,255.41967366769563
6.316,9,0.0,0.0
6.378,9,0.0,0.0
6.438,9,0.0,0.0
6.499,8,-16.55060511476859,-273.92252966500416
6.559,8,0.0,274.9968080056663
6.62,7,-16.43561811313657,-270.1295427608629
6.68,8,16.49878254575779,543.3775147459602
6.743,7,-16.0091605151263,-520.4248784782795
6.803,7,0.0,266.4426816971926
6.865,6,-16.1207779229764,-259.87948084192334
6.927,7,16.238047858893307,525.444161703591
6.988,6,-16.254787141279284,-528.1641165445149
7.05,6,0.0,262.0136304536262
7.112,6,0.0,0.0
7.175,6,0.0,0.0
7.237,6,0.0,0.0
7.299,6,0.0,0.0
7.362,6,0.0,0.0
7.424,6,0.0,0.0
7.485,6,0.0,0.0
7.546,6,0.0,0.0
7.605,6,0.0,0.0
7.667,6,0.0,0.0
7.726,6,0.0,0.0
7.785,7,17.01867698912166,289.63536646005906
7.846,7,0.0,-276.2292482999409
7.907,7,0.0,0.0
7.967,7,0.0,0.0
8.028,7,0.0,0.0
8.09,6,-16.215698782557595,-262.9488870066399
8.151,6,0.0,263.3755305821624
8.213,7,16.11823795927308,259.7975949117516
8.273,7,0.0,-268.850150304944
8.335,7,0.0,0.0
8.398,8,15.971973008788899,255.1039217934811
8.458,7,-16.64340303956192,-542.8308488595771
8.519,7,0.0,273.7924497183799
8.581,7,0.0,0.0
8.642,7,0.0,0.0
8.704,7,0.0,0.0
8.766,7,0.0,0.0
8.824,8,16.96004528820687,287.64313617802804
8.886,8,0.0,-275.2073111749738
8.946,7,-16.714303362144886,-279.36793688180785
9.005,8,16.93457204342753,569.8293047359828
9.066,8,0.0,-278.8349543446743
9.128,9,15.966865635278353,254.9407982150328
9.19,9,0.0,-257.021919633063
9.252,10,16.186911703979284,262.0161105124215
9.313,10,0.0,-264.3739963538513
9.376,10,0.0,0.0
9.436,11,16.764340986122658,281.043128698992
9.495,12,16.840130728401306,1.276309167844272
9.556,12,0.0,-276.1449352166756
9.616,13,16.60006015799389,275.56199724901614
9.677,13,0.0,-273.38073346152254
9.737,14,16.522570148865682,272.9953243241873
9.798,14,0.0,-272.71815098782787
9.858,15,16.55687707982173,274.1301786363262
9.922,15,0.0,-261.28101948343436
10.008,15,0.0,0.0
10.069,15,0.0,0.0
10.129,16,16.61801541234969,276.1584362450918
10.189,16,0.0,-275.9758337203536
10.25,16,0.0,0.0
10.311,17,16.588964431629865,275.19374091388073
10.373,17,0.0,-266.19415755090336
10.432,17,0.0,0.0
10.492,17,0.0,0.0
10.554,16,-16.182352714225086,-261.868539367588
10.615,16,0.0,267.0279827788165
10.675,17,16.616962018295556,276.1234267174772
10.735,16,-16.567406365783715,-549.7789160109068
10.795,16,0.0,275.39379288470064
10.858,15,-15.9606682141634,-254.7429298426059
10.918,15,0.0,264.6422143158539
10.987,14,-14.52618090260822,-211.00993161529976
11.06,14,0.0,199.3502536229653
11.122,14,0.0,0.0
11.183,13,-16.360928534371453,-267.67998250681
11.245,12,-16.145848731214585,3.4726459669102057
11.306,12,0.0,264.8232360266239
11.367,12,0.0,0.0
11.428,11,-16.299256599476937,-265.6657656955925
11.49,11,0.0,265.7556139393436
11.551,10,-16.20642568729352,-262.6482335577673
11.611,10,0.0,272.9380524473915
11.67,10,0.0,0.0
11.732,9,-16.30445210671373,-265.83515850012174
11.793,9,0.0,266.96112134803417
11.853,9,0.0,0.0
11.912,8,-16.809557588800853,-282.56122633121237
11.973,7,-16.402581048844393,6.675465681614098
12.034,7,0.0,269.07202368350084
12.104,7,0.0,0.0
12.164,7,0.0,0.0
12.229,6,-15.421312518153842,-237.81687978256838
12.289,6,0.0,255.5083084671191
12.349,5,-16.638649328393143,-276.84465147323755
12.41,6,16.461936982903435,544.8997659537204
12.472,6,0.0,-264.6986115919164
12.534,6,0.0,0.0
12.596,6,0.0,0.0
12.659,6,0.0,0.0
12.721,6,0.0,0.0
12.781,5,-16.49728998355897,-272.16057680163516
12.844,5,0.0,262.1466216355931
12.908,5,0.0,0.0
12.968,5,0.0,0.0
13.028,5,0.0,0.0
13.088,5,0.0,0.0
13.148,4,-16.871493907957667,-284.6473066862527
13.21,6,32.09390267697617,785.745336268204
13.272,6,0.0,-519.5452802008988
13.333,6,0.0,0.0
13.397,5,-15.616474670677857,-243.87428113992306
13.456,5,0.0,262.77141449579295
13.518,5,0.0,0.0
13.58,6,16.143735806935837,260.6202058041423
13.642,5,-16.133551816720132,-520.747292379433
13.703,4,-16.31866160879292,-3.0207440573098236
13.764,5,16.29260864836309,531.3226638258459
13.827,6,15.91989767064066,-5.933520626065499
13.887,7,16.7931358928264,14.664408131975247
13.947,8,16.69999522209304,-1.5554487562296304
14.008,8,0.0,-271.2572340961329
14.067,9,16.8600324795395,284.2606952111268
14.131,10,15.843285978159455,-16.108605588657117
14.191,10,0.0,-261.06323416700627
14.252,11,16.543750591650625,273.69568363874043
14.314,11,0.0,-266.51272380104
14.374,12,16.660128616086148,277.55988550453253
14.432,12,0.0,-284.3490599845556
14.494,13,16.2141316365267,262.89806472661604
14.556,13,0.0,-260.59016518800985
14.617,14,16.432784829963957,270.0364172678935
14.678,14,0.0,-268.85666696620825
14.737,15,16.912925312709177,286.04704263327886
14.799,16,16.104622544069482,-13.017410990268615
14.861,16,0.0,-263.76849568732814
14.923,17,15.895643605631667,252.6714856372589
14.983,17,0.0,-267.3423083091418
15.043,18,16.66072421627977,277.57973141093123
15.104,18,0.0,-274.9368221933489
15.168,18,0.0,0.0
15.235,18,0.0,0.0
15.297,19,16.1529994877937,260.91939245266354
15.36,19,0.0,-258.5268879497034
15.421,19,0.0,0.0
15.484,18,-16.041550494330025,-257.33134226213986
15.544,19,16.595134187692636,541.6101617395789
15.607,20,15.965406985596395,-10.053851071367399
15.668,20,0.0,-261.5384059448789
15.73,20,0.0,0.0
15.789,20,0.0,0.0
15.851,20,0.0,0.0
15.91,20,0.0,0.0
15.97,21,16.734976918258315,280.0594524546386
16.031,21,0.0,-273.55860050648914
16.093,21,0.0,0.0
16.156,21,0.0,0.0
16.218,21,0.0,0.0
16.279,21,0.0,0.0
16.34,21,0.0,0.0
16.399,21,0.0,0.0
16.461,21,0.0,0.0
16.522,21,0.0,0.0
16.584,21,0.0,0.0
16.644,21,0.0,0.0
16.704,21,0.0,0.0
16.765,21,0.0,0.0
16.827,21,0.0,0.0
16.89,21,0.0,0.0
16.952,21,0.0,0.0
17.011,21,0.0,0.0
17.072,21,0.0,0.0
17.133,21,0.0,0.0
17.194,21,0.0,0.0
17.259,21,0.0,0.0
17.323,21,0.0,0.0
17.382,21,0.0,0.0
17.444,21,0.0,0.0
17.505,21,0.0,0.0
17.567,21,0.0,0.0
17.63,21,0.0,0.0
17.693,21,0.0,0.0
17.756,21,0.0,0.0
17.817,21,0.0,0.0
17.88,21,0.0,0.0
17.941,21,0.0,0.0
18.002,21,0.0,0.0
18.065,21,0.0,0.0
18.126,21,0.0,0.0
18.189,21,0.0,0.0
18.251,21,0.0,0.0
18.312,21,0.0,0.0
18.372,21,0.0,0.0
18.433,21,0.0,0.0
18.493,21,0.0,0.0
18.552,21,0.0,0.0
